pclass,survived,name,embarked,sex,age,sibsp,parch,ticket,fare,cabin
1,1,"Allen, Miss. Elisabeth Walton",S,female,29,0,0,24160,211.3375,B5
1,1,"Allison, Master. Hudson Trevor",S,male,0.9167,1,2,113781,151.55,C22 C26
1,0,"Allison, Miss. Helen Loraine",S,female,2,1,2,113781,151.55,C22 C26
1,0,"Allison, Mr. Hudson Joshua Creighton",S,male,30,1,2,113781,151.55,C22 C26
1,0,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",S,female,25,1,2,113781,151.55,C22 C26
1,1,"Anderson, Mr. Harry",S,male,48,0,0,19952,26.55,E12
1,1,"Andrews, Miss. Kornelia Theodosia",S,female,63,1,0,13502,77.9583,D7
1,0,"Andrews, Mr. Thomas Jr",S,male,39,0,0,112050,0,A36
1,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",S,female,53,2,0,11769,51.4792,C101
1,0,"Artagaveytia, Mr. Ramon",C,male,71,0,0,PC 17609,49.5042,
1,0,"Astor, Col. John Jacob",C,male,47,1,0,PC 17757,227.525,C62 C64
1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",C,female,18,1,0,PC 17757,227.525,C62 C64
1,1,"Aubart, Mme. Leontine Pauline",C,female,24,0,0,PC 17477,69.3,B35
1,1,"Barber, Miss. Ellen 'Nellie'",S,female,26,0,0,19877,78.85,
1,1,"Barkworth, Mr. Algernon Henry Wilson",S,male,80,0,0,27042,30,A23
1,0,"Baumann, Mr. John D",S,male,,0,0,PC 17318,25.925,
1,0,"Baxter, Mr. Quigg Edmond",C,male,24,0,1,PC 17558,247.5208,B58 B60
1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",C,female,50,0,1,PC 17558,247.5208,B58 B60
1,1,"Bazzani, Miss. Albina",C,female,32,0,0,11813,76.2917,D15
1,0,"Beattie, Mr. Thomson",C,male,36,0,0,13050,75.2417,C6
1,1,"Beckwith, Mr. Richard Leonard",S,male,37,1,1,11751,52.5542,D35
1,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",S,female,47,1,1,11751,52.5542,D35
1,1,"Behr, Mr. Karl Howell",C,male,26,0,0,111369,30,C148
1,1,"Bidois, Miss. Rosalie",C,female,42,0,0,PC 17757,227.525,
1,1,"Bird, Miss. Ellen",S,female,29,0,0,PC 17483,221.7792,C97
1,0,"Birnbaum, Mr. Jakob",C,male,25,0,0,13905,26,
1,1,"Bishop, Mr. Dickinson H",C,male,25,1,0,11967,91.0792,B49
1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",C,female,19,1,0,11967,91.0792,B49
1,1,"Bissette, Miss. Amelia",S,female,35,0,0,PC 17760,135.6333,C99
1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",S,male,28,0,0,110564,26.55,C52
1,0,"Blackwell, Mr. Stephen Weart",S,male,45,0,0,113784,35.5,T
1,1,"Blank, Mr. Henry",C,male,40,0,0,112277,31,A31
1,1,"Bonnell, Miss. Caroline",S,female,30,0,0,36928,164.8667,C7
1,1,"Bonnell, Miss. Elizabeth",S,female,58,0,0,113783,26.55,C103
1,0,"Borebank, Mr. John James",S,male,42,0,0,110489,26.55,D22
1,1,"Bowen, Miss. Grace Scott",C,female,45,0,0,PC 17608,262.375,
1,1,"Bowerman, Miss. Elsie Edith",S,female,22,0,1,113505,55,E33
1,1,"Bradley, Mr. George ('George Arthur Brayton')",S,male,,0,0,111427,26.55,
1,0,"Brady, Mr. John Bertram",S,male,41,0,0,113054,30.5,A21
1,0,"Brandeis, Mr. Emil",C,male,48,0,0,PC 17591,50.4958,B10
1,0,"Brewe, Dr. Arthur Jackson",C,male,,0,0,112379,39.6,
1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",C,female,44,0,0,PC 17610,27.7208,B4
1,1,"Brown, Mrs. John Murray (Caroline Lane Lamson)",S,female,59,2,0,11769,51.4792,C101
1,1,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",C,female,60,0,0,11813,76.2917,D15
1,1,"Burns, Miss. Elizabeth Margaret",C,female,41,0,0,16966,134.5,E40
1,0,"Butt, Major. Archibald Willingham",S,male,45,0,0,113050,26.55,B38
1,0,"Cairns, Mr. Alexander",S,male,,0,0,113798,31,
1,1,"Calderhead, Mr. Edward Pennington",S,male,42,0,0,PC 17476,26.2875,E24
1,1,"Candee, Mrs. Edward (Helen Churchill Hungerford)",C,female,53,0,0,PC 17606,27.4458,
1,1,"Cardeza, Mr. Thomas Drake Martinez",C,male,36,0,1,PC 17755,512.3292,B51 B53 B55
1,1,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",C,female,58,0,1,PC 17755,512.3292,B51 B53 B55
1,0,"Carlsson, Mr. Frans Olof",S,male,33,0,0,695,5,B51 B53 B55
1,0,"Carrau, Mr. Francisco M",S,male,28,0,0,113059,47.1,
1,0,"Carrau, Mr. Jose Pedro",S,male,17,0,0,113059,47.1,
1,1,"Carter, Master. William Thornton II",S,male,11,1,2,113760,120,B96 B98
1,1,"Carter, Miss. Lucile Polk",S,female,14,1,2,113760,120,B96 B98
1,1,"Carter, Mr. William Ernest",S,male,36,1,2,113760,120,B96 B98
